_id,longitude,latitude,inwater,inusa
ObjectId(5785fb0f66772e00073a4977),-71.10373902,42.36554689,FALSE,TRUE
ObjectId(5785fb1066772e00073a4978),-121.4891907,38.58354914,FALSE,TRUE
ObjectId(5785fb2966772e00073a4979),-121.4919576,38.57955673,FALSE,TRUE
ObjectId(5785fb2966772e00073a497a),-121.4909296,38.56488074,FALSE,TRUE
ObjectId(5785fb3666772e00073a497b),-71.06717837,42.34360233,TRUE,TRUE
ObjectId(5785fb4966772e00073a497c),-71.07192178,42.34394461,FALSE,TRUE
ObjectId(5785fb4f66772e00073a497d),-121.4867774,38.57793133,FALSE,TRUE
ObjectId(5785fb6266772e00073a497e),-121.4842827,38.58031191,FALSE,TRUE
ObjectId(5785fb6966772e00073a497f),-121.4883424,38.57767138,FALSE,TRUE
ObjectId(5785fb6f66772e00073a4980),-121.478465,38.577311,FALSE,TRUE
ObjectId(5785fb7e66772e00073a4981),-121.4794672,38.57416001,FALSE,TRUE
ObjectId(5785fb8566772e00073a4982),-121.4924936,38.58242967,FALSE,TRUE
ObjectId(5785fb8866772e00073a4983),-71.0893551,42.33637598,FALSE,TRUE
ObjectId(5785fb9666772e00073a4984),-121.4817028,38.57958794,FALSE,TRUE
ObjectId(5785fb9a66772e00073a4985),-121.4926809,38.58210273,FALSE,TRUE
ObjectId(5785fb9c66772e00073a4986),-71.09340165,42.3408409,FALSE,TRUE
ObjectId(5785fbae66772e00073a4987),-121.4818775,38.57725403,FALSE,TRUE
ObjectId(5785fbbc66772e00073a4988),-121.4947892,38.58079781,FALSE,TRUE
ObjectId(5785fbc566772e00073a4989),-121.4799551,38.5766953,FALSE,TRUE
ObjectId(5785fbd066772e00073a498a),-71.11019323,42.39740965,FALSE,TRUE
ObjectId(5785fbd166772e00073a498b),-121.4822169,38.57483294,FALSE,TRUE
ObjectId(5785fbda66772e00073a498c),-121.4938081,38.58102784,FALSE,TRUE
ObjectId(5785fbe466772e00073a498d),-121.4806881,38.5782339,FALSE,TRUE
ObjectId(5785fbea66772e00073a498e),-71.11307415,42.39437754,FALSE,TRUE
ObjectId(5785fbef66772e00073a498f),-121.4928206,38.58181366,FALSE,TRUE
ObjectId(5785fbf766772e00073a4990),-121.4802779,38.57191854,FALSE,TRUE
ObjectId(5785fc0966772e00073a4991),-121.4859336,38.57317717,FALSE,TRUE
ObjectId(5785fc1266772e00073a4992),-121.4909811,38.57904235,FALSE,TRUE
ObjectId(5785fc1666772e00073a4993),-71.05084739,42.38752676,TRUE,TRUE
ObjectId(5785fc1f66772e00073a4994),-121.4772423,38.57231149,FALSE,TRUE
ObjectId(5785fc2266772e00073a4995),-71.04816564,42.38278899,TRUE,TRUE
ObjectId(5785fc2e66772e00073a4996),-121.4743494,38.57254466,FALSE,TRUE
ObjectId(5785fc2e66772e00073a4997),-121.4892877,38.57922218,FALSE,TRUE
ObjectId(5785fc4766772e00073a4998),-121.4847195,38.58039465,FALSE,TRUE
ObjectId(5785fc4f66772e00073a4999),-121.4887395,38.58024858,FALSE,TRUE
ObjectId(5785fc5c66772e00073a499a),-121.485898,38.58093201,FALSE,TRUE
ObjectId(5785fc8166772e00073a499b),-121.4831563,38.58295738,FALSE,TRUE
ObjectId(5785fc8466772e00073a499c),-121.4801779,38.57570831,FALSE,TRUE
ObjectId(5785fc9466772e00073a499d),-121.4817898,38.57218899,FALSE,TRUE
ObjectId(5785fca866772e00073a499e),-121.4835067,38.57812407,FALSE,TRUE
ObjectId(5785fcac66772e00073a499f),-121.4876736,38.5774927,FALSE,TRUE
ObjectId(5785fcc166772e00073a49a0),-121.4754896,38.57307788,FALSE,TRUE
ObjectId(5785fcc266772e00073a49a1),-121.4881455,38.5771022,FALSE,TRUE
ObjectId(5785fccc66772e00073a49a2),-121.4715876,38.57203156,FALSE,TRUE
ObjectId(5785fcdf66772e00073a49a3),-77.03626696,38.89742228,FALSE,TRUE
ObjectId(5785fcdf66772e00073a49a4),-121.4731982,38.57238621,FALSE,TRUE
ObjectId(5785fce666772e00073a49a5),-121.4895478,38.57859802,FALSE,TRUE
ObjectId(5785fcf066772e00073a49a6),-121.4703781,38.57249229,FALSE,TRUE
ObjectId(5785fd0466772e00073a49a7),-121.4705928,38.57201964,FALSE,TRUE
ObjectId(5785fd0a66772e00073a49a8),-121.4894146,38.57865794,FALSE,TRUE
ObjectId(5785fd1466772e00073a49a9),-121.4693564,38.5741391,FALSE,TRUE
ObjectId(5785fd1a66772e00073a49aa),-77.02814504,38.91702161,FALSE,TRUE
ObjectId(5785fd2766772e00073a49ab),-77.02935327,38.90948852,FALSE,TRUE
ObjectId(5785fd2966772e00073a49ac),-121.4894635,38.57857085,FALSE,TRUE
ObjectId(5785fd2e66772e00073a49ad),-121.4776395,38.57328586,FALSE,TRUE
ObjectId(5785fd3c66772e00073a49ae),-121.4827687,38.57006653,FALSE,TRUE
ObjectId(5785fd4766772e00073a49af),-121.4822188,38.57090256,FALSE,TRUE
ObjectId(5785fd5566772e00073a49b0),-77.02198814,38.89977023,FALSE,TRUE
ObjectId(5785fd5866772e00073a49b1),-121.4806049,38.5750613,FALSE,TRUE
ObjectId(5785fd6466772e00073a49b2),-121.4901731,38.57698203,FALSE,TRUE
ObjectId(5785fd6866772e00073a49b3),-121.4766288,38.57345487,FALSE,TRUE
ObjectId(5785fd8266772e00073a49b4),-121.4893735,38.58167304,FALSE,TRUE
ObjectId(5785fd9766772e00073a49b5),-121.4929388,38.58269075,FALSE,TRUE
ObjectId(5785fd9e66772e00073a49b6),-121.4905457,38.57828822,FALSE,TRUE
ObjectId(5785fda966772e00073a49b7),-76.98848918,38.90017973,FALSE,TRUE
ObjectId(5785fdb866772e00073a49b8),-122.2662925,37.82868858,FALSE,TRUE
ObjectId(5785fdc466772e00073a49b9),-122.2664168,37.82840282,FALSE,TRUE
ObjectId(5785fdc766772e00073a49ba),-121.4992642,38.58406686,FALSE,TRUE
