_id,longitude,latitude
ObjectId(5785ed4da61edb00073a1e41),-118.49756663640568,34.009020564312195
ObjectId(5785ed5aa61edb00073a1e42),-118.41327969120596,33.88379571382056
ObjectId(5785edbaa61edb00073a1e43),-118.29335145495631,33.78481689897454
ObjectId(5785ede9a61edb00073a1e44),-118.27749307856453,34.05858465677072
ObjectId(5785ee01a61edb00073a1e45),-121.74658187606593,38.55883384527485
ObjectId(5785ee1ba61edb00073a1e46),-118.262973188073,34.052118968969694
ObjectId(5785ee4aa61edb00073a1e47),-121.74514162996807,38.555533434011664
ObjectId(5785ee50a61edb00073a1e48),-118.25520313934263,34.05035659589224
ObjectId(5785ee65a61edb00073a1e49),-118.2458440386637,34.05539359460663
ObjectId(5785ee72a61edb00073a1e4a),-121.73801222784022,38.54042726244464
ObjectId(5785eeb0a61edb00073a1e4b),-118.35528601669401,34.06320712552868
ObjectId(5785eed3a61edb00073a1e4c),-118.35092160108186,34.092188044169035
ObjectId(5785efc1a61edb00073a1e4d),-121.74932001172152,38.541034328582555
ObjectId(5785efd5a61edb00073a1e4e),-121.74957597057596,38.54250175689924
ObjectId(5785effea61edb00073a1e4f),-121.7314912373391,38.54424633158405
ObjectId(5785f042a61edb00073a1e50),-121.74369039197205,38.544030566781714
ObjectId(5785f07aa61edb00073a1e51),-121.7462035245774,38.55962512908019
ObjectId(5785f098a61edb00073a1e52),-121.75020758739674,38.56777238625301
ObjectId(5785f0b3a61edb00073a1e53),-121.50471879977296,38.58302264809231
ObjectId(5785f0e2a61edb00073a1e54),-121.75180984395534,38.54594057552873
ObjectId(5785f106a61edb00073a1e55),-121.7436206710619,38.53922447118714
ObjectId(5785f14da61edb00073a1e56),-121.751700717892,38.571376478463236
ObjectId(5785f1d6a61edb00073a1e57),-121.70235232237911,38.55603518339021
ObjectId(5785f215a61edb00073a1e58),-121.77031475454652,38.550507148709784
ObjectId(5785f251a61edb00073a1e59),-121.74451383698468,38.54493706707055
ObjectId(5785f27ca61edb00073a1e5a),-73.97354072479048,40.754671656013414
ObjectId(5785f296a61edb00073a1e5b),-121.74899062066729,38.57156152311569
ObjectId(5785f2b7a61edb00073a1e5c),-121.74116558398086,38.542292798457055
ObjectId(5785f2e3a61edb00073a1e5d),-73.98510064374942,40.719712803266134
ObjectId(5785f2f3a61edb00073a1e5e),-121.74342821726029,38.55848902035524
ObjectId(5785f310a61edb00073a1e5f),-73.8815579063975,40.7199443766244
ObjectId(5785f31aa61edb00073a1e60),-73.87884389087483,40.72026258271748
ObjectId(5785f32ba61edb00073a1e61),-121.75903354778883,38.5427688984349
ObjectId(5785f34fa61edb00073a1e62),-121.74981238683148,38.54129370991609
ObjectId(5785f36ea61edb00073a1e63),-73.84437042580704,40.74171127650499
ObjectId(5785f37ba61edb00073a1e64),-73.80651051674491,40.74728018499596
